pea	pease
pup	pups
rigger	riggers
springbok	springboks
fetishist	fetishists
demographer	demographers
fool	fools
harvester	harvesters
mongoose	mongooses
astronomer	astronomers
neurologist	neurologists
casualty	casualties
prefect	prefects
soprano	sopranos
broom	brooms
roommate	roommates
coral	corals
gunman	gunmen
whitefly	whiteflies
grader	graders
freeman	freemen
farmer	farmers
light	lights
copper	coppers
mentor	mentors
tarantula	tarantulas
panderer	panderers
tout	touts
kinglet	kinglets
deputy	deputies
auk	auks
golfer	golfers
mushroom	mushrooms
newsagent	newsagents
lemon	lemons
avocado	avocados
indigo	indigos
plowman	ploughmen
subject	subjects
alder	alders
collector	collectors
loser	losers
poke	pokes
buttercup	buttercups
opossum	opossums
mahatma	mahatmas
cosmetologist	cosmetologists
banker	bankers
foxhound	foxhounds
overseer	overseers
wren	wrens
pipit	pipits
mole	moles
bettor	bettors
capuchin	capuchins
relative	relatives
kitty	kitties
seeker	seekers
wanderer	wanderers
tourist	tourists
bracero	braceros
pussycat	pussycats
prince	princes
patriot	patriots
jacamar	jacamars
snapper	snappers
twin	twins
blue	blues
proconsul	proconsuls
shadow	shadows
voice	voices
tragopan	tragopans
fish	fishes
scorekeeper	scorekeepers
bride	brides
maker	makers
bigot	bigots
monkey	monkeys
crane	cranes
mate	mates
macaque	macaques
hood	hoods
hoopoe	hoopoes
antbird	antbirds
orthodontist	orthodontists
recruiter	recruiters
pyromaniac	pyromaniacs
lentil	lentils
angler	anglers
honeypot	honeypots
narwhal	narwhals
greeter	greeters
biologist	biologists
handyman	handymen
letterman	lettermen
tamandua	tamanduas
curlew	curlews
stevedore	stevedores
seal	seals
ass	asses
saver	savers
weeper	weepers
currant	currants
scratcher	scratchers
filer	filers
evergreen	evergreens
respondent	respondents
mezzo-soprano	mezzo-sopranos
ant	ants
gaucho	gauchos
citizen	citizens
bovid	bovids
miser	misers
acquirer	acquirers
leviathan	leviathans
tadpole	tadpoles
papist	papists
hawk	hawks
ignoramus	ignoramuses
undergraduate	undergraduates
swinger	swingers
cultist	cultists
malcontent	malcontents
whip	whips
orange	oranges
hajji	hajjis
sissy	sissies
beast	beasts
mullet	mullets
underachiever	underachievers
genealogist	genealogists
swimmer	swimmers
idol	idols
reliever	relievers
dwarf	dwarfs
trainee	trainees
rani	ranis
world	worlds
heavyweight	heavyweights
wagtail	wagtails
narc	narcs
sphinx	sphinxes
greenskeeper	greenskeepers
marmoset	marmosets
great	greats
potter	potters
clarinetist	clarinetists
employer	employers
worrier	worriers
conversationalist	conversationalists
namer	namers
ray	rays
mayfly	mayflies
mammal	mammals
kibitzer	kibitzers
gutter	gutters
cipher	ciphers
tulip	tulips
pterodactyl	pterodactyls
demonstrator	demonstrators
monolingual	monolinguals
spammer	spammers
swallow	swallows
nuncio	nuncios
fastener	fasteners
satyr	satyrs
representative	representatives
cultivar	cultivars
pomelo	pomelos
adoptee	adoptees
broker-dealer	broker-dealers
soprano	soprani
viticulturist	viticulturists
presenter	presenters
tangerine	tangerines
satirist	satirists
guarantor	guarantors
taxidermist	taxidermists
striper	stripers
modifier	modifiers
courtier	courtiers
physicist	physicists
consignee	consignees
steeplechaser	steeplechasers
lemur	lemurs
qualifier	qualifiers
dermatologist	dermatologists
haricot	haricots
lawgiver	lawgivers
outpatient	outpatients
matriarch	matriarchs
quail	quails
shearwater	shearwaters
hope	hopes
legatee	legatees
beef	beefs
windowpane	windowpanes
examiner	examiners
vigilante	vigilantes
cyprinid	cyprinids
morel	morels
butcher	butchers
pilchard	pilchards
sage	sages
switcher	switchers
housemate	housemates
ruler	rulers
gaffer	gaffers
beneficiary	beneficiaries
castrato	castrati
scofflaw	scofflaws
chaplain	chaplains
pill	pills
meteorologist	meteorologists
barnstormer	barnstormers
songbird	songbirds
accuser	accusers
hotdog	hotdogs
scoter	scoters
schoolboy	schoolboys
scalper	scalpers
liverwort	liverworts
filly	fillies
adolescent	adolescents
wallaby	wallabies
bitterroot	bitterroots
giver	givers
butterfly	butterflies
shrimp	shrimps
philosopher	philosophers
orchestrator	orchestrators
moll	molls
beetroot	beetroots
exorcist	exorcists
colonel	colonels
oleander	oleanders
carpetbagger	carpetbaggers
groupie	groupies
wether	wethers
cycad	cycads
cofounder	cofounders
cenobite	cenobites
abolitionist	abolitionists
banyan	banyans
palatine	palatines
globetrotter	globetrotters
apricot	apricots
rustic	rustics
embryo	embryos
mestizo	mestizos
carabao	carabaos
oppressor	oppressors
molester	molesters
headmistress	headmistresses
liquidator	liquidators
officeholder	officeholders
okapi	okapis
married	marrieds
hollyhock	hollyhocks
pomegranate	pomegranates
beagle	beagles
ostrich	ostriches
creep	creeps
mandrill	mandrills
vegetarian	vegetarians
primate	primates
paralegal	paralegals
legionnaire	legionnaires
spy	spiess
princess	princesses
patrician	patricians
detective	detectives
innocent	innocents
mamba	mambas
anesthesiologist	anesthesiologists
archduke	archdukes
elephant	elephants
hero	heros
alcalde	alcaldes
asp	asps
airhead	airheads
honeycreeper	honeycreepers
mackerel	mackerels
hominoid	hominoids
remover	removers
sheik	sheiks
rotavirus	rotaviruses
brit	brits
falconer	falconers
hack	hacks
coot	coots
aspirant	aspirants
bear	bears
hound	hounds
taskmaster	taskmasters
wallflower	wallflowers
piglet	piglets
headhunter	headhunters
mustang	mustangs
chiropractor	chiropractors
hysteric	hysterics
tang	tangs
gainer	gainers
neurosurgeon	neurosurgeons
easterner	easterners
pitta	pittas
stockman	stockmen
trilobite	trilobites
boyfriend	boyfriends
wahoo	wahoos
slugger	sluggers
daughter-in-law	daughters-in-law
skater	skaters
vestryman	vestrymen
homeboy	homeboys
agouti	agoutis
watchmaker	watchmakers
thrift	thrifts
aunt	aunts
rust	rusts
ombudsman	ombudsmen
spouse	spouses
unfortunate	unfortunates
caster	casters
trombonist	trombonists
learner	learners
villain	villains
periwinkle	periwinkles
caterer	caterers
navigator	navigators
thane	thanes
policyholder	policyholders
scribe	scribes
cad	cads
bombardier	bombardiers
echidna	echidnas
dill	dills
lackey	lackeys
ferret	ferrets
lobbyist	lobbyists
medalist	medalists
optician	opticians
etymologist	etymologists
cabbage	cabbages
kumquat	kumquats
rat	rats
peach	peaches
oat	oats
sorceress	sorceresses
hawk	hawkses
eater	eaters
yogi	yogis
albino	albinos
admirer	admirers
convert	converts
ecologist	ecologists
edger	edgers
regent	regents
stamper	stampers
raver	ravers
tramp	tramps
augur	augurs
bolete	boletes
prawn	prawns
lady-in-waiting	ladies-in-waiting
coroner	coroners
consul	consuls
sun	suns
tipster	tipsters
clergyman	clergymen
seller	sellers
signalman	signalmen
elm	elms
dishwasher	dishwashers
humanist	humanists
candidate	candidates
bracken	brackens
marquess	marquesses
palomino	palominos
shaman	shamen
ironworker	ironworkers
licensee	licensees
hyacinth	hyacinths
blackwood	blackwoods
larch	larches
hypnotist	hypnotists
stargazer	stargazers
myna	mynas
abbot	abbots
redneck	rednecks
man	mans
vandal	vandals
robin	robins
arachnid	arachnids
doorkeeper	doorkeepers
insomniac	insomniacs
pawpaw	pawpaws
gull	gulls
godfather	godfathers
cuckoo	cuckoos
broadbill	broadbills
vintner	vintners
nabob	nabobs
prospector	prospectors
cock	cocks
companion	companions
regular	regulars
imposter	imposters
crop	crops
sheriff	sheriffs
saxophonist	saxophonists
shipbuilder	shipbuilders
saguaro	saguaros
neighbor	neighbors
orchid	orchids
intellectual	intellectuals
announcer	announcers
anthropologist	anthropologists
confidante	confidantes
chit	chits
comedienne	comediennes
begum	begums
legate	legates
sleeper	sleepers
rue	ruess
pear	pearses
case	cases
sorcerer	sorcerers
palm	palms
baron	barons
notary	notaries
eyewitness	eyewitnesses
kudu	kudus
commissar	commissars
bulbul	bulbuls
ethologist	ethologists
careerist	careerists
thrush	thrushes
falangist	falangists
hatemonger	hatemongers
baritone	baritones
rogue	rogues
asthmatic	asthmatics
pistachio	pistachios
drafter	drafters
material	materials
larva	larvae
colleen	colleens
daredevil	daredevils
jester	jesters
rodent	rodents
game	games
anomaly	anomalies
begonia	begonias
quarryman	quarrymen
philanthropist	philanthropists
mare	mares
seagrass	seagrasses
vertebrate	vertebrates
helmsman	helmsmen
teacher	teachers
journalist	journalists
plum	plums
fusilier	fusiliers
hostage	hostages
advocate	advocates
torchbearer	torchbearers
toastmaster	toastmasters
grouch	grouches
loner	loners
crooner	crooners
planter	planters
negotiator	negotiators
drill	drills
vassal	vassals
bishop	bishops
slammer	slammers
peacekeeper	peacekeepers
dynast	dynasts
gadfly	gadflies
snowboarder	snowboarders
hag	hags
poon	poons
buzzard	buzzards
angel	angels
cornerback	cornerbacks
liberal	liberals
clam	clams
runner	runners
migrant	migrants
upholsterer	upholsterers
viroid	viroids
native	natives
user	users
homosexual	homosexuals
paleontologist	paleontologists
countertenor	countertenors
mycologist	mycologists
stork	storks
romanticist	romanticists
drake	drakes
technocrat	technocrats
hangman	hangmen
salvager	salvagers
pointer	pointers
dragonfly	dragonflies
thinker	thinkers
isopod	isopods
publicist	publicists
superintendent	superintendents
buddy	buddies
introvert	introverts
meadowlark	meadowlarks
plover	plovers
rocket	rockets
shopkeeper	shopkeepers
fungus	funguses
foreigner	foreigners
copepod	copepods
submariner	submariners
thistle	thistles
stock	stocks
connoisseur	connoisseurs
troublemaker	troublemakers
novelist	novelists
buckskin	buckskins
occultist	occultists
spokesperson	spokespersons
schoolgirl	schoolgirls
dandy	dandies
dicynodont	dicynodonts
patentee	patentees
helpmate	helpmates
gorilla	gorillas
cleric	clerics
retiree	retirees
bandicoot	bandicoots
senator	senators
friar	friars
gladiator	gladiators
gecko	geckos
personality	personalities
radish	radishes
wrasse	wrasses
skirmisher	skirmishers
syndic	syndics
pelican	pelicans
generator	generators
rhymer	rhymers
mariposa	mariposas
hunter-gatherer	hunter-gatherers
entertainer	entertainers
sneak	sneaks
instar	instars
stepparent	stepparents
stroke	strokes
celebrity	celebrities
characin	characins
pinscher	pinschers
balancer	balancers
goalkeeper	goalkeepers
heathen	heathens
narrator	narrators
woodcutter	woodcutters
blond	blonds
fly	flys
canine	canines
smelt	smelts
roadrunner	roadrunners
ouster	ousters
nan	nans
selectman	selectmen
escort	escorts
tribune	tribunes
cockatoo	cockatoos
animator	animators
forefather	forefathers
ideal	ideals
seer	seers
thyme	thymes
photojournalist	photojournalists
villager	villagers
ballplayer	ballplayers
praya	prayas
liveryman	liverymen
satellite	satellites
prey	preys
scriptwriter	scriptwriters
maenad	maenads
wolverine	wolverines
cherry	cherries
gangsta	gangstas
literate	literates
growler	growlers
reptile	reptiles
hen	henss
dicot	dicots
streaker	streakers
digger	diggers
stationer	stationers
numismatist	numismatists
federalist	federalists
plenipotentiary	plenipotentiaries
jackdaw	jackdaws
jobber	jobbers
dunce	dunces
consumer	consumers
import	imports
lascar	lascars
delinquent	delinquents
fan	fans
manipulator	manipulators
claimant	claimants
washer	washers
diviner	diviners
caltrop	caltrops
catcher	catchers
copywriter	copywriters
traveler	travelers
lumper	lumpers
nasturtium	nasturtiums
cheapskate	cheapskates
life	lifes
maharaja	maharajas
mercenary	mercenaries
foxglove	foxgloves
paparazzo	paparazzi
therapist	therapists
newscaster	newscasters
chub	chubs
mathematician	mathematicians
salesclerk	salesclerks
cashier	cashiers
leper	lepers
mango	mangoes
cat	cats
mistletoe	mistletoes
poacher	poachers
breeder	breeders
shipwright	shipwrights
ambassador	ambassadors
ranter	ranters
pest	pests
weasel	weasels
bramble	brambles
muskrat	muskrats
loon	loons
hotspur	hotspurs
bullfrog	bullfrogs
biographer	biographers
medium	media
songster	songsters
sipper	sippers
stallion	stallions
dreamer	dreamers
codger	codgers
curator	curators
anathema	anathemas
analyst	analysts
natural	naturals
politician	politicians
persimmon	persimmons
intervenor	intervenors
goner	goners
promoter	promoters
dinoflagellate	dinoflagellates
conch	conchs
confederate	confederates
kidnapper	kidnappers
miro	miros
quarterback	quarterbacks
mallow	mallows
hind	hinds
commissioner	commissioners
headliner	headliners
interviewer	interviewers
bookkeeper	bookkeepers
rover	rovers
hop	hops
redwing	redwings
ascidian	ascidians
squire	squires
hagiographer	hagiographers
distributor	distributors
animist	animists
compulsive	compulsives
ornithischian	ornithischians
agent	agents
absolutist	absolutists
onlooker	onlookers
recruit	recruits
pintail	pintails
flanker	flankers
pimp	pimps
laurel	laurels
spectator	spectators
signer	signers
ethnologist	ethnologists
bantamweight	bantamweights
alchemist	alchemists
bruin	bruins
starter	starters
archdeacon	archdeacons
cricket	crickets
peregrine	peregrines
idealist	idealists
yogi	yogin
beluga	belugas
apache	apaches
catfish	catfishes
lout	louts
tapeworm	tapeworms
martyr	martyrs
luminary	luminaries
tyrannosaur	tyrannosaurs
longhorn	longhorns
constructivist	constructivists
theologian	theologians
reciter	reciters
deaconess	deaconesses
trophozoite	trophozoites
destroyer	destroyers
columbine	columbines
damsel	damsels
changer	changers
nerd	nerds
magnolia	magnolias
sponge	sponges
argentine	argentines
oystercatcher	oystercatchers
hoodoo	hoodoos
upsetter	upsetters
hugger	huggers
wicket-keeper	wicket-keepers
redbud	redbuds
triumvir	triumvirs
supporter	supporters
appellant	appellants
hornet	hornets
logician	logicians
curassow	curassows
conformist	conformists
swift	swifts
sachem	sachems
heath	heaths
pinwheel	pinwheels
sabra	sabras
moray	morays
walnut	walnuts
violator	violators
immunologist	immunologists
clapper	clappers
pharisee	pharisees
missionary	missionaries
hyrax	hyraxes
gawker	gawkers
taxonomist	taxonomists
sedum	sedums
prowler	prowlers
apparatchik	apparatchiks
drone	drones
lichen	lichens
armyworm	armyworms
forebear	forebears
winner	winners
homo	homos
hippopotamus	hippopotami
clown	clowns
madame	mesdames
tomboy	tomboys
therapsid	therapsids
achiever	achievers
madam	madams
cod	cods
squaw	squaws
fundraiser	fundraisers
barker	barkers
matchmaker	matchmakers
countryman	countrymen
barracuda	barracudas
allocator	allocators
granddaughter	granddaughters
lilac	lilacs
left-hander	left-handers
ti	tis
infantryman	infantrymen
crake	crakes
harpist	harpists
constable	constables
cannibal	cannibals
mimic	mimics
embalmer	embalmers
glassmaker	glassmakers
venturer	venturers
alpaca	alpacas
beetle	beetles
cadet	cadets
tarsier	tarsiers
vireo	vireos
scarab	scarabs
walrus	walruses
honeybee	honeybees
ghostwriter	ghostwriters
captor	captors
boy	boies
totalitarian	totalitarians
boxer	boxers
luthier	luthiers
constituent	constituents
putter	putters
butler	butlers
melon	melons
bouncer	bouncers
loudmouth	loudmouths
vicar	vicars
brahman	brahmans
vaquero	vaqueros
mew	mews
samurai	samurais
camper	campers
eft	efts
waif	waives
pharmacist	pharmacists
endocrinologist	endocrinologists
canna	cannas
painter	painters
setter	setters
dauphin	dauphins
salmon	salmons
stylist	stylists
primitive	primitives
warhorse	warhorses
livestock	livestocks
brave	braves
moviegoer	moviegoers
milkman	milkmen
strongman	strongmen
drunk	drunks
lather	lathers
study	studies
forger	forgers
renegade	renegades
blackberry	blackberrys
tackler	tacklers
gobbler	gobblers
terrapin	terrapins
neurotic	neurotics
plant	plants
organizer	organizers
libertine	libertines
copycat	copycats
miller	millers
pony	ponies
nutter	nutters
provost	provosts
toxicologist	toxicologists
shipper	shippers
herbivore	herbivores
pain	pains
partridge	partridges
tomatillo	tomatillos
cougar	cougars
pentathlete	pentathletes
serf	serfs
taxer	taxers
mangabey	mangabeys
strider	striders
son-in-law	sons-in-law
box	boxes
bungler	bunglers
entrepreneur	entrepreneurs
fingerling	fingerlings
hickory	hickories
successor	successors
girl	girls
tree	trees
scrubber	scrubbers
pornographer	pornographers
carrier	carriers
finalist	finalists
opposition	oppositions
quince	quinces
onion	onions
chela	chelae
eggplant	eggplants
breaker	breakers
scallop	scallops
roble	robles
piranha	piranhas
heckler	hecklers
crimp	crimps
termer	termers
swiftlet	swiftlets
cantor	cantors
model	models
polyp	polyps
sawyer	sawyers
snowball	snowballs
thrall	thralls
architect	architects
pervert	perverts
litigant	litigants
calculator	calculators
entrant	entrants
farmhand	farmhands
welder	welders
fare	fares
gopher	gophers
toast	toasts
cassowary	cassowaries
outdoorsman	outdoorsmen
dacoit	dacoits
copyist	copyists
storyteller	storytellers
occupier	occupiers
mulberry	mulberries
appropriator	appropriators
tick	ticks
alewife	alewives
burgomaster	burgomasters
trillium	trilliums
hauler	haulers
homunculus	homunculi
rhododendron	rhododendrons
confidant	confidants
royal	royals
goat	goats
beater	beaters
king	kings
coward	cowards
manatee	manatees
speedskater	speedskaters
sewer	sewers
nazi	nazis
sprinter	sprinters
master	masters
jawan	jawans
puritan	puritans
ornithologist	ornithologists
translator	translators
doyenne	doyennes
grammarian	grammarians
packer	packers
redeemer	redeemers
squatter	squatters
sailmaker	sailmakers
syndicator	syndicators
horticulturist	horticulturists
cub	cubs
nematode	nematodes
editor	editors
scion	scions
bibliographer	bibliographers
weightlifter	weightlifters
cantaloupe	cantaloupes
epicure	epicures
customer	customers
drinker	drinkers
rowan	rowans
grandparent	grandparents
conditioner	conditioners
interpreter	interpreters
slouch	slouches
godchild	godchildren
eccentric	eccentrics
protegee	protegees
ginkgo	ginkgos
tailor	tailors
diabetic	diabetics
telecaster	telecasters
nephew	nephews
trusty	trusties
picker	pickers
laborer	laborers
senior	seniors
arsonist	arsonists
disciple	disciples
busker	buskers
runner-up	runner-ups
nihilist	nihilists
bedfellow	bedfellows
crocodile	crocodiles
diver	divers
fellow	fellows
bushwhacker	bushwhackers
advertiser	advertisers
undesirable	undesirables
booker	bookers
personage	personages
pedophile	pedophiles
beachcomber	beachcombers
timekeeper	timekeepers
jilt	jilts
sharecropper	sharecroppers
landlord	landlords
ginger	gingers
bunt	bunts
fencer	fencers
weaver	weavers
locator	locators
colonial	colonials
parrot	parrots
hairdresser	hairdressers
buster	busters
trustee	trustees
lupine	lupines
salesman	salesmen
marathoner	marathoners
platypus	platypuses
facilitator	facilitators
prosimian	prosimians
dry	dries
shorebird	shorebirds
panhandler	panhandlers
saboteur	saboteurs
bennet	bennets
catechist	catechists
pine	pines
dalmatian	dalmatians
peddler	peddlers
modern	moderns
stocker	stockers
sheep	sheeps
aquatic	aquatics
plumber	plumbers
hanger	hangers
expert	experts
addict	addicts
bootmaker	bootmakers
ethnic	ethnics
procurator	procurators
caterpillar	caterpillars
proposer	proposers
picket	pickets
gal	gals
mariner	mariners
foot	feet
reprobate	reprobates
heretic	heretics
surgeon	surgeons
pluralist	pluralists
seedling	seedlings
hitchhiker	hitchhikers
boar	boars
minnow	minnows
infielder	infielders
artiste	artistes
boy	boys
pauper	paupers
spearhead	spearheads
cedar	cedars
supremo	supremos
valet	valets
salesperson	salespeople
attache	attaches
ass	assess
gastropod	gastropods
canoeist	canoeists
caretaker	caretakers
celebrant	celebrants
hippopotamus	hippopotamuses
caecilian	caecilians
eaglet	eaglets
inquisitor	inquisitors
projectionist	projectionists
bimbo	bimbos
anatomist	anatomists
filibuster	filibusters
jumper	jumpers
fanatic	fanatics
freeman	freemans
hybrid	hybrids
pike	pikes
changeling	changelings
triplet	triplets
registrar	registrars
grunt	grunts
depositor	depositors
stunt	stunts
flapper	flappers
broad	broads
executioner	executioners
poisoner	poisoners
veteran	veterans
cartwright	cartwrights
czar	czars
mosquito	mosquitoes
singer	singers
geoduck	geoducks
beatnik	beatniks
descender	descenders
beggar	beggars
geezer	geezers
iconoclast	iconoclasts
worm	worms
bandleader	bandleaders
chef	chefs
imp	imps
hammerhead	hammerheads
statistician	statisticians
teamster	teamsters
all-rounder	all-rounders
reviewer	reviewers
quack	quacks
oceanographer	oceanographers
dealer	dealers
liger	ligers
crewman	crewmen
noncombatant	noncombatants
bobcat	bobcats
octopus	octopuses
dame	dames
imperialist	imperialists
coauthor	coauthors
louse	lice
firstborn	firstborns
gillie	gillies
comedian	comedians
linden	lindens
escapist	escapists
ringer	ringers
sucker	suckers
biochemist	biochemists
homeopath	homeopaths
chancellor	chancellors
gamekeeper	gamekeepers
scrutineer	scrutineers
cartoonist	cartoonists
condor	condors
agriculturist	agriculturists
egomaniac	egomaniacs
gitano	gitanos
impersonator	impersonators
pansy	pansies
billionaire	billionaires
delegate	delegates
resident	residents
amphipod	amphipods
humpback	humpbacks
moralist	moralists
motorcyclist	motorcyclists
tosser	tossers
pursuer	pursuers
composite	composites
tier	tiers
surveyor	surveyors
domestic	domestics
shopaholic	shopaholics
sophomore	sophomores
accountant	accountants
hedgehog	hedgehogs
incurable	incurables
scad	scads
peri	peris
lacewing	lacewings
stickleback	sticklebacks
tigress	tigresses
osprey	ospreys
holly	hollies
spaniel	spaniels
boa	boas
oryx	oryxes
yearling	yearlings
vacationer	vacationers
defeatist	defeatists
evolutionist	evolutionists
daisy	daisies
grass	grasses
superbug	superbugs
groundnut	groundnuts
lilliputian	lilliputians
darling	darlings
gent	gents
heiress	heiresses
purveyor	purveyors
mink	minks
steelmaker	steelmakers
protist	protists
ethicist	ethicists
bargainer	bargainers
mango	mangos
witness	witnesses
surrealist	surrealists
man-at-arms	men-at-arms
spymaster	spymasters
ani	anis
stoic	stoics
fugitive	fugitives
dingo	dingos
clerk	clerks
parr	parrs
tanner	tanners
workmate	workmates
assistant	assistants
atheist	atheists
originator	originators
maestro	maestri
lightweight	lightweights
blogger	bloggers
reservist	reservists
bunny	bunnies
tamer	tamers
preserver	preservers
smoker	smokers
titmouse	titmice
transfer	transfers
moorhen	moorhens
malingerer	malingerers
puppeteer	puppeteers
puffer	puffers
grebe	grebes
bomber	bombers
brewer	brewers
contributor	contributors
cook	cooks
herald	heralds
pleaser	pleasers
islander	islanders
surfer	surfers
national	nationals
churchgoer	churchgoers
speaker	speakers
buck	bucks
hornbill	hornbills
terrorist	terrorists
hydrologist	hydrologists
artilleryman	artillerymen
gigolo	gigolos
sort	sorts
astrologer	astrologers
panelist	panelists
bombshell	bombshells
sojourner	sojourners
automaton	automata
botanist	botanists
psychic	psychics
bunkmate	bunkmates
hakim	hakims
forester	foresters
cheetah	cheetahs
marine	marines
hearer	hearers
wayfarer	wayfarers
stupid	stupids
thief	thieves
draftee	draftees
countess	countesses
cherub	cherubs
prebendary	prebendaries
caliph	caliphs
pheasant	pheasants
accomplice	accomplices
pusher	pushers
barbu	barbus
speculator	speculators
criminologist	criminologists
incumbent	incumbents
aquanaut	aquanauts
confessor	confessors
catch	catches
lory	lories
boarder	boarders
seahorse	seahorses
grabber	grabbers
liana	lianas
apple	apples
mantis	mantes
tagger	taggers
guesser	guessers
mouth	mouths
penguin	penguins
nitpicker	nitpickers
pivot	pivots
ideologist	ideologists
headmaster	headmasters
coachman	coachmen
bidder	bidders
kangaroo	kangaroos
cube	cubes
stakeholder	stakeholders
emigrant	emigrants
socialist	socialists
standard-bearer	standard-bearers
baronet	baronets
licenser	licensers
choreographer	choreographers
guzzler	guzzlers
cherub	cherubim
salp	salps
lesbian	lesbians
virtuoso	virtuosi
rotter	rotters
skinhead	skinheads
donor	donors
pompon	pompons
sod	sods
zebra	zebras
fortuneteller	fortunetellers
archer	archers
herring	herrings
supervisor	supervisors
cartographer	cartographers
plunderer	plunderers
starling	starlings
appointee	appointees
eavesdropper	eavesdroppers
frontiersman	frontiersmen
submitter	submitters
businesswoman	businesswomen
tailback	tailbacks
ivy	ivies
helminth	helminths
initiate	initiates
schmuck	schmucks
roller	rollers
possible	possibles
drunkard	drunkards
cameraman	cameramen
crackpot	crackpots
wearer	wearers
rival	rivals
collard	collards
kinsman	kinsmen
grain	grains
calabash	calabashes
tumbler	tumblers
maid	maids
bricklayer	bricklayers
malamute	malamutes
adventurer	adventurers
chapman	chapmans
cornflower	cornflowers
budgerigar	budgerigars
microorganism	microorganisms
sinner	sinners
pilot	pilots
crazy	crazies
groundling	groundlings
signaler	signalers
conductor	conductors
compiler	compilers
superior	superiors
creature	creatures
centipede	centipedes
brakeman	brakemen
bowerbird	bowerbirds
stewardess	stewardesses
leaseholder	leaseholders
romper	rompers
hurdler	hurdlers
admiral	admirals
jujube	jujubes
argonaut	argonauts
tern	terns
hatchling	hatchlings
scrambler	scramblers
hermit	hermits
bisexual	bisexuals
hazel	hazels
stag	stags
canon	canons
neoconservative	neoconservatives
exegete	exegetes
crinoid	crinoids
spotter	spotters
prankster	pranksters
advancer	advancers
shutterbug	shutterbugs
statesman	statesmen
dean	deans
victim	victims
coon	coons
mussel	mussels
squash	squashes
educator	educators
maestro	maestros
officiant	officiants
veterinarian	veterinarians
financier	financiers
birth	births
volunteer	volunteers
subshrub	subshrubs
bloodworm	bloodworms
psychologist	psychologists
curandero	curanderos
orderly	orderlies
yuppie	yuppies
stepfather	stepfathers
babbler	babblers
regicide	regicides
petitioner	petitioners
gofer	gofers
animal	animals
hellebore	hellebores
merino	merinos
schoolteacher	schoolteachers
pen	pens
cardoon	cardoons
decorator	decorators
rightist	rightists
sable	sables
sightseer	sightseers
wag	wags
corsair	corsairs
hand	hands
straggler	stragglers
lithographer	lithographers
sorrel	sorrels
stepson	stepsons
spider	spiders
pilgrim	pilgrims
stayer	stayers
hostess	hostesses
leaker	leakers
busboy	busboys
apologist	apologists
cyborg	cyborgs
basset	bassets
breadwinner	breadwinners
chandler	chandlers
adjudicator	adjudicators
cowpea	cowpeas
workaholic	workaholics
optimist	optimists
lizard	lizards
holdover	holdovers
oboist	oboists
sergeant	sergeants
crow	crows
playboy	playboys
polychaete	polychaetes
counselor	counselors
bull	bulls
